# time totalContactTime
737.6000 92925.0000
738.6000 93051.0000
739.6000 93177.0000
740.6000 93303.0000
741.6000 93429.0000
742.6000 93555.0000
743.6000 93681.0000
744.6000 93807.0000
745.6000 93933.0000
746.6000 94059.0000
747.6000 94185.0000
748.6000 94311.0000
749.6000 94437.0000
750.6000 94563.0000
751.6000 94689.0000
752.6000 94815.0000
753.6000 94941.0000
754.6000 95067.0000
755.6000 95193.0000
756.6000 95319.0000
757.6000 95445.0000
758.6000 95571.0000
759.6000 95697.0000
760.6000 95823.0000
761.6000 95949.0000
762.6000 96075.0000
763.6000 96201.0000
764.6000 96327.0000
765.6000 96453.0000
766.6000 96579.0000
767.6000 96705.0000
768.6000 96831.0000
769.6000 96957.0000
770.6000 97083.0000
771.6000 97209.0000
772.6000 97335.0000
773.6000 97461.0000
774.6000 97587.0000
775.6000 97713.0000
776.6000 97839.0000
777.6000 97965.0000
778.6000 98091.0000
779.6000 98217.0000
780.6000 98343.0000
781.6000 98469.0000
782.6000 98595.0000
783.6000 98721.0000
784.6000 98847.0000
785.6000 98973.0000
786.6000 99099.0000
787.6000 99225.0000
788.6000 99351.0000
789.6000 99477.0000
790.6000 99603.0000
791.6000 99729.0000
792.6000 99855.0000
793.6000 99981.0000
794.6000 100107.0000
795.6000 100233.0000
796.6000 100359.0000
797.6000 100485.0000
798.6000 100611.0000
799.6000 100737.0000
800.6000 100863.0000
801.6000 100989.0000
802.6000 101115.0000
803.6000 101241.0000
804.6000 101367.0000
805.6000 101493.0000
806.6000 101619.0000
807.6000 101745.0000
808.6000 101871.0000
809.6000 101997.0000
810.6000 102123.0000
811.6000 102249.0000
812.6000 102375.0000
813.6000 102501.0000
814.6000 102627.0000
815.6000 102753.0000
816.6000 102879.0000
817.6000 103005.0000
818.6000 103131.0000
819.6000 103257.0000
820.6000 103383.0000
821.6000 103509.0000
822.6000 103635.0000
823.6000 103761.0000
824.6000 103887.0000
825.6000 104013.0000
826.6000 104139.0000
827.6000 104265.0000
828.6000 104391.0000
829.6000 104517.0000
830.6000 104643.0000
831.6000 104769.0000
832.6000 104895.0000
833.6000 105021.0000
834.6000 105147.0000
835.6000 105273.0000
836.6000 105399.0000
837.6000 105525.0000
838.6000 105651.0000
839.6000 105777.0000
840.6000 105903.0000
841.6000 106029.0000
842.6000 106155.0000
843.6000 106281.0000
844.6000 106407.0000
845.6000 106533.0000
846.6000 106659.0000
847.6000 106785.0000
848.6000 106911.0000
849.6000 107037.0000
850.6000 107163.0000
851.6000 107289.0000
852.6000 107415.0000
853.6000 107541.0000
854.6000 107667.0000
855.6000 107793.0000
856.6000 107919.0000
857.6000 108045.0000
858.6000 108171.0000
859.6000 108297.0000
860.6000 108423.0000
861.6000 108549.0000
862.6000 108675.0000
863.6000 108801.0000
864.6000 108927.0000
865.6000 109053.0000
866.6000 109179.0000
867.6000 109305.0000
868.6000 109431.0000
869.6000 109557.0000
870.6000 109683.0000
871.6000 109809.0000
872.6000 109935.0000
873.6000 110061.0000
874.6000 110187.0000
875.6000 110313.0000
876.6000 110439.0000
877.6000 110565.0000
878.6000 110691.0000
879.6000 110817.0000
880.6000 110943.0000
881.6000 111069.0000
882.6000 111195.0000
883.6000 111321.0000
884.6000 111447.0000
885.6000 111573.0000
886.6000 111699.0000
887.6000 111825.0000
888.6000 111951.0000
889.6000 112077.0000
890.6000 112203.0000
891.6000 112329.0000
892.6000 112455.0000
893.6000 112581.0000
894.6000 112707.0000
895.6000 112833.0000
896.6000 112959.0000
897.6000 113085.0000
898.6000 113211.0000
899.6000 113337.0000
900.6000 113463.0000
901.6000 113589.0000
902.6000 113715.0000
903.6000 113841.0000
904.6000 113967.0000
905.6000 114093.0000
906.6000 114219.0000
907.6000 114345.0000
908.6000 114471.0000
909.6000 114597.0000
910.6000 114723.0000
911.6000 114849.0000
912.6000 114975.0000
913.6000 115101.0000
914.6000 115227.0000
915.6000 115353.0000
916.6000 115479.0000
917.6000 115605.0000
918.6000 115731.0000
919.6000 115857.0000
920.6000 115983.0000
921.6000 116109.0000
922.6000 116235.0000
923.6000 116361.0000
924.6000 116487.0000
925.6000 116613.0000
926.6000 116739.0000
927.6000 116865.0000
928.6000 116991.0000
929.6000 117117.0000
930.6000 117243.0000
931.6000 117369.0000
932.6000 117495.0000
933.6000 117621.0000
934.6000 117747.0000
935.6000 117873.0000
936.6000 117999.0000
937.6000 118125.0000
938.6000 118251.0000
939.6000 118377.0000
940.6000 118503.0000
941.6000 118629.0000
942.6000 118755.0000
943.6000 118881.0000
944.6000 119007.0000
945.6000 119133.0000
946.6000 119259.0000
947.6000 119385.0000
948.6000 119511.0000
949.6000 119637.0000
950.6000 119763.0000
951.6000 119889.0000
952.6000 120015.0000
953.6000 120141.0000
954.6000 120267.0000
955.6000 120393.0000
956.6000 120519.0000
957.6000 120645.0000
958.6000 120771.0000
959.6000 120897.0000
960.6000 121023.0000
961.6000 121149.0000
962.6000 121275.0000
963.6000 121401.0000
964.6000 121527.0000
965.6000 121653.0000
966.6000 121779.0000
967.6000 121905.0000
968.6000 122031.0000
969.6000 122157.0000
970.6000 122283.0000
971.6000 122409.0000
972.6000 122535.0000
973.6000 122661.0000
974.6000 122787.0000
975.6000 122913.0000
976.6000 123039.0000
977.6000 123165.0000
978.6000 123291.0000
979.6000 123417.0000
980.6000 123543.0000
981.6000 123669.0000
982.6000 123795.0000
983.6000 123921.0000
984.6000 124047.0000
985.6000 124173.0000
986.6000 124299.0000
987.6000 124425.0000
988.6000 124551.0000
989.6000 124677.0000
990.6000 124803.0000
991.6000 124929.0000
992.6000 125055.0000
993.6000 125181.0000
994.6000 125307.0000
995.6000 125433.0000
996.6000 125559.0000
997.6000 125685.0000
998.6000 125811.0000
999.6000 125937.0000
1000.6000 126063.0000
1001.6000 126189.0000
1002.6000 126315.0000
1003.6000 126441.0000
1004.6000 126567.0000
1005.6000 126693.0000
1006.6000 126819.0000
1007.6000 126945.0000
1008.6000 127071.0000
1009.6000 127197.0000
1010.6000 127323.0000
1011.6000 127449.0000
1012.6000 127575.0000
1013.6000 127701.0000
1014.6000 127827.0000
1015.6000 127953.0000
1016.6000 128079.0000
1017.6000 128205.0000
1018.6000 128331.0000
1019.6000 128457.0000
1020.6000 128583.0000
1021.6000 128709.0000
1022.6000 128835.0000
1023.6000 128961.0000
1024.7000 129099.6000
1025.8000 129238.2000
1026.9000 129376.8000
1028.0000 129515.4000
1029.1000 129654.0000
1030.2000 129792.6000
1031.3000 129931.2000
1032.4000 130069.8000
1033.5000 130208.4000
1034.6000 130347.0000
1035.7000 130485.6000
1036.8000 130624.2000
1037.9000 130762.8000
1039.0000 130901.4000
1040.1000 131040.0000
1041.2000 131178.6000
1042.3000 131317.2000
1043.4000 131455.8000
1044.5000 131594.4000
1045.6000 131733.0000
1046.7000 131871.6000
1047.8000 132010.2000
1048.9000 132148.8000
1050.0000 132287.4000
1051.1000 132426.0000
1052.2000 132564.6000
1053.3000 132703.2000
1054.4000 132841.8000
1055.5000 132980.4000
1056.6000 133119.0000
1057.7000 133257.6000
1058.8000 133396.2000
1059.9000 133534.8000
1061.0000 133673.4000
1062.1000 133812.0000
1063.2000 133950.6000
1064.3000 134089.2000
1065.4000 134227.8000
1066.5000 134366.4000
1067.6000 134505.0000
1068.7000 134643.6000
1069.8000 134782.2000
1070.9000 134920.8000
1072.0000 135059.4000
1073.1000 135198.0000
1074.2000 135336.6000
1075.3000 135475.2000
1076.4000 135613.8000
1077.5000 135752.4000
1078.6000 135891.0000
1079.7000 136029.6000
1080.8000 136168.2000
1081.9000 136306.8000
1083.0000 136445.4000
1084.1000 136584.0000
1085.2000 136722.6000
1086.3000 136861.2000
1087.4000 136999.8000
1088.5000 137138.4000
1089.6000 137277.0000
1090.7000 137415.6000
1091.8000 137554.2000
1092.9000 137692.8000
1094.0000 137831.4000
1095.1000 137970.0000
1096.2000 138108.6000
1097.3000 138247.2000
1098.4000 138385.8000
1099.5000 138524.4000
1100.6000 138663.0000
1101.7000 138801.6000
1102.8000 138940.2000
1103.9000 139078.8000
1105.0000 139217.4000
1106.1000 139356.0000
1107.2000 139494.6000
1108.3000 139633.2000
1109.4000 139771.8000
1110.5000 139910.4000
1111.6000 140049.0000
1112.7000 140187.6000
1113.8000 140326.2000
1114.9000 140464.8000
1116.0000 140603.4000
1117.1000 140742.0000
1118.2000 140880.6000
1119.3000 141019.2000
1120.4000 141157.8000
1121.5000 141296.4000
1122.6000 141435.0000
1123.7000 141573.6000
1124.8000 141712.2000
1125.9000 141850.8000
1127.0000 141989.4000
1128.1000 142128.0000
1129.2000 142266.6000
1130.3000 142405.2000
1131.4000 142543.8000
1132.5000 142682.4000
1133.6000 142821.0000
1134.7000 142959.6000
1135.8000 143098.2000
1136.9000 143236.8000
1138.0000 143375.4000
1139.1000 143514.0000
1140.2000 143652.6000
1141.3000 143791.2000
1142.4000 143929.8000
1143.5000 144068.4000
1144.6000 144207.0000
1145.7000 144345.6000
1146.8000 144484.2000
1147.9000 144622.8000
1149.0000 144761.4000
1150.1000 144900.0000
1151.2000 145038.6000
1152.3000 145177.2000
1153.4000 145315.8000
1154.5000 145454.4000
1155.6000 145593.0000
1156.7000 145731.6000
1157.8000 145870.2000
1158.9000 146008.8000
1160.0000 146147.4000
1161.1000 146286.0000
1162.2000 146424.6000
1163.3000 146563.2000
1164.4000 146701.8000
1165.5000 146840.4000
1166.6000 146979.0000
1167.7000 147117.6000
1168.8000 147256.2000
1169.9000 147394.8000
1171.0000 147533.4000
1172.1000 147672.0000
1173.2000 147810.6000
